record_id,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
1,2.1240149,-0.08175591,2.1850505,2.8330767,-1.0647049,1.6906054,0.15183145,0.03724059,-0.46766233,-0.9416387,-1.0243343,2.5217853,-1.5901747,-0.5371816,-0.7224878,-1.1293259,-0.6297121,0.5680888,-2.849927,2.67502,1.2354057,0.32447553,1.016426,-0.95620763,-0.80527925,-1.4228154,-0.64057475,0.44618565,-0.3095237,1.6575115,-0.7702321,0.87270516
2,-1.8608866,1.66816,1.3044043,3.8860905,-0.86696196,0.70367956,-0.35436565,-0.55790985,2.057424,-3.2108116,-0.066565394,-1.1917273,1.7987773,-2.1427352,-0.16086036,3.8279874,-0.91006756,1.3189931,-1.8419847,-0.87290865,-0.37182063,0.021259628,-0.7945528,2.2272527,-1.0245671,-0.6314311,-3.2276833,1.368409,3.4211662,0.4193957,1.7353952,-4.795151
3,2.4139888,0.34852052,1.9720701,2.1394792,-2.3799047,1.2468193,-0.41240233,-0.23874037,-0.43807435,-1.74163,-0.50933355,2.3660178,-1.3493142,0.124060616,-0.66823256,-0.34138778,-0.67050844,0.9524349,-1.2400562,3.1138718,-0.51279825,0.10002944,0.8560996,-0.11522,0.67500484,-2.1515777,-1.6652493,1.2302532,-0.5372776,-0.15978408,-1.4796044,1.8339807
4,-0.29082894,0.13782947,2.2067282,5.1413937,-2.4446585,-0.7370851,-0.46496907,-1.1184864,2.9035444,-1.0971637,0.7378542,-0.1463432,1.7301388,-2.1704056,-1.1506137,2.6170273,-0.401366,-0.7167647,0.6023948,-0.2069343,0.759586,-1.7988023,-1.7615557,3.0908287,-1.4180757,-0.27192986,-2.7332485,-0.926487,1.1300076,-0.13134193,-0.36228043,-2.7020261
6,0.9098832,-0.03313601,1.7937621,2.602559,-3.4933255,1.4761707,-0.6224174,-1.1798371,1.7982583,-1.3896137,0.18138354,0.112217665,0.6066359,0.19801967,-1.5040054,2.6922233,-1.1360123,0.37134516,-0.7633505,1.5821722,-2.3501503,-0.9761275,-0.43788338,2.7841806,0.31769618,-1.426352,-2.1746016,1.8027965,0.28813216,0.9313346,-2.560586,-1.4549936
5,0.3368663,0.5788734,2.3700647,4.752699,-2.148674,0.78648996,-0.3404072,-1.4513448,2.7695022,-1.8576696,-0.1971083,0.6598194,0.6357779,-2.1559088,-0.834146,2.865716,-1.0973141,0.13883024,-1.2187747,0.96633583,-0.85416543,-0.12632781,-1.3253822,2.0981421,-1.0379348,-1.06662,-2.6001918,0.9513396,1.2281694,1.3954204,0.12536088,-2.3876805
8,0.7183572,-0.60483414,2.7788916,3.4939206,-1.4619787,3.9263823,-0.20621577,-0.3774695,-0.115940094,-0.56273645,-2.0014226,1.5179385,-0.112303585,-2.317624,-0.7594588,-0.588806,-1.2915151,-0.82932043,-3.24941,1.0715764,1.6741713,1.9459125,1.4031862,-1.0459952,-0.745906,-0.9936099,-1.0587124,-1.019656,0.99023294,4.7440777,1.0723854,-4.8227034
7,-0.09956549,1.6714908,1.7325581,2.9377592,-3.1834593,0.26125565,-0.68967104,-0.17065975,0.7849262,-2.4442382,-0.5961969,0.36987296,1.6824187,-1.7270461,-0.22847503,1.6650774,-1.0651972,0.82556283,-0.12546094,0.3597826,0.19563311,-0.17438793,0.4790137,1.1569278,0.18927565,-0.75463426,-2.3270593,0.31659782,0.6933098,-1.0563195,-0.59349847,-0.57754964
9,1.2751808,-0.027724475,2.0210598,5.1754103,-1.1475137,-0.16467834,0.69822127,-0.415927,1.0770812,-1.200634,0.5944245,1.833002,-0.9963835,-0.5257637,-0.73031795,1.5817472,-0.97019184,0.46436128,-2.1743352,1.0919385,-0.110220194,-0.3652064,-0.94830465,0.78827053,-1.1142149,-1.8289276,-1.733715,0.85506165,0.3105202,0.24098073,0.47954834,-0.13686474
10,0.8861422,0.70864767,1.714407,4.256123,-2.282627,0.47328,-0.27682796,-1.1113259,2.7042766,-2.2275,-0.05903387,1.1439866,1.0258676,-2.3262138,-0.54548454,2.3197703,-1.541198,1.2146273,-1.8710365,1.107204,-1.742672,0.4143262,-1.3878973,0.72001946,-0.41767395,-1.2264621,-2.03266,1.4941787,1.1315477,0.42032075,0.06742181,-1.4656342
11,-0.3131069,0.29151362,2.6331878,3.8537738,-1.7196075,2.6391122,-0.1657206,-1.5643823,2.0039074,-2.1671371,-1.1175488,0.5322503,0.49295515,-2.1125581,-0.5508412,2.344271,-1.0950243,-0.22337249,-1.5533748,0.7982225,-0.9376756,0.640454,-0.38700274,1.6041493,-0.4432024,-1.5510548,-2.7845502,1.1701788,1.7996706,2.890621,1.1154307,-4.144045
12,-0.6727576,1.6573007,1.7921617,3.0956888,1.8628823,3.19217,-0.4793173,-0.43333423,1.3490522,-1.48999,-1.9335775,0.9959499,0.07775192,-2.6511655,0.32589507,0.96594983,-2.3607721,0.4809445,-2.3329785,1.9435034,-0.27130568,-0.37842134,1.1987809,-0.29155767,-1.4894183,-1.8262447,-1.6253139,0.42816693,3.2630541,-0.5325426,5.2018795,-3.1044588
