record_id,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
1,0.35317776,-1.0348431,2.1515079,-2.23258,-0.5501827,-0.40457162,0.6091436,-0.15026589,0.8300244,0.8685249,2.0992124,1.1755222,1.7302753,1.1882422,-0.49101883,0.66521955,-0.23479296,-0.47922468,0.54131687,1.6810051,0.15871462,-1.1491921,0.084101595,-0.08910219,-0.22425747,0.5276254,0.8038415,0.14292727,0.58007646,-0.27631894,0.45460573,0.98684585
2,1.6326792,1.1584346,3.185626,-2.6400073,-0.3688441,-0.45346856,1.7657045,1.111179,-0.56833285,0.64213073,2.776942,0.9892437,1.2031146,0.30618998,1.0786176,2.8507454,1.883957,0.26896232,0.6822095,0.4864186,0.6406822,-1.3535341,-1.181561,0.28676504,-1.2138685,-1.9619529,0.55625576,-2.348664,-2.6397815,-0.5553653,0.013563476,-1.1080623
3,0.2633071,-1.809508,1.8176403,-2.0350325,-0.4306686,-1.1456511,1.2080429,0.27470452,0.8529545,1.4967837,1.7079142,0.43555376,2.0792792,1.9969426,-0.3967542,0.14075568,-0.08889365,-0.91196537,0.41132766,1.3212898,-0.1081614,-1.0577601,0.17593168,-0.43441692,-0.44680434,-0.3775039,1.2566394,1.0775136,0.56812096,0.112896174,0.0494909,0.80389786
4,1.3422372,1.1204573,2.4727376,-1.8914657,-1.3928709,-1.4706264,1.0836169,1.1256119,-0.14889188,-0.31107968,1.2685901,1.1095479,2.1348536,0.7124294,1.5312544,0.7006635,0.13034642,-1.1846163,0.10093032,-0.011314653,0.5257417,-0.9974833,-1.4446645,-0.48745543,-0.72577596,-1.3248501,0.7350346,-0.43636578,-1.1547655,-1.5624182,-0.12800515,-1.6698687
6,0.77772236,-1.0446597,3.335305,-2.339945,-0.6471774,-1.5872318,2.144511,1.4893773,0.10209167,0.80073404,1.9736212,1.2438294,2.2635016,1.4994897,1.549056,0.71715117,0.21463114,-0.47882774,-0.32358065,0.4341955,0.77844,-1.004923,-1.7634184,-0.26826248,-1.1876525,-1.864966,1.0368532,-1.0293093,-1.166089,-1.1094587,-0.15005635,-0.5069856
5,1.1176957,0.59361196,3.5857656,-3.1268265,-1.365606,-1.4662819,1.8766192,1.4248766,0.10397163,0.8200275,2.5552971,1.6885382,2.6747463,0.80464625,1.1801374,1.4453301,0.2669966,-0.50206965,-0.48711255,0.7670139,0.501155,-1.6582485,-1.5751631,-0.29598564,-1.1724416,-1.790275,0.7345644,-1.3511547,-1.8182899,-1.2025859,0.2540365,-0.66926
8,1.2646778,0.46170145,2.719646,-1.9957232,-0.88744974,0.09140469,0.4619572,-0.3694155,0.14781724,-0.41759065,2.8441713,1.9721348,1.233209,0.1436094,0.22782105,1.6929352,-0.11531521,0.16490462,0.7736498,1.3911251,0.878942,-1.5931089,-0.70828956,0.470913,-1.1248616,0.53041524,0.10704408,-1.8009008,-0.22960423,-0.9057583,0.31746215,0.3815713
7,1.5487698,-0.8730379,1.9864686,-2.0419576,-0.22022608,-1.120074,1.0309945,0.3314855,0.015178967,0.8086939,2.0142035,0.84629613,1.0265211,1.1298549,-0.058936786,0.22978055,0.5182841,-0.63887197,1.2855549,0.9150269,0.3035077,-1.6611257,-0.5653538,-0.37533462,-1.2559899,-1.1433009,1.7593747,0.23484826,0.021312034,0.021390941,0.015647382,-0.30964345
9,0.5017857,0.30527964,2.528769,-2.1707563,-1.4359707,-1.3762306,1.4959626,1.1489142,0.40673763,0.8011937,2.0082088,1.0841364,2.3305013,0.6809083,0.31958458,0.9619692,0.17717952,-0.567441,-0.45001718,0.6756377,0.19805047,-0.9917993,-0.97095835,-0.8635901,-0.60423803,-1.1724323,0.5315094,-0.13846019,-0.814013,-0.7015333,0.18730791,-1.118852
10,1.2011054,-0.0452909,3.515265,-2.9865737,-1.1252725,-1.1335523,2.0829825,1.0382735,-0.052254423,1.4421781,2.4668298,1.0726604,2.3004203,0.52683806,0.44154936,1.5636008,0.58030164,-0.15703502,-0.6679633,0.82471466,0.6110122,-1.262666,-0.8919441,-0.57737666,-1.2935334,-1.8335463,1.1747295,-0.7830465,-1.2085451,-0.9993658,0.48085433,-0.7903389
