Configuration,Macro F1,Macro AUC,Subset Acc,NORM F1,MI F1,STTC F1,CD F1,HYP F1,Brier Score
Clean Baseline,0.7220794463519964,0.909252261124775,0.5633333333333334,0.8732394366197183,0.6875,0.6582278481012658,0.746268656716418,0.6451612903225806,0.08484602234208234
Drop I,0.7081232080436746,0.9002457653049095,0.56,0.8623188405797102,0.6829268292682927,0.6666666666666666,0.7361111111111112,0.5925925925925926,0.08753207769875478
Drop II,0.6928197936440865,0.907151152826741,0.48333333333333334,0.8110236220472441,0.6532663316582915,0.6363636363636364,0.7205882352941176,0.6428571428571429,0.09372397402587714
Drop III,0.7011071284343174,0.89360907214171,0.5666666666666667,0.8581081081081081,0.6802721088435374,0.6580645161290323,0.7090909090909091,0.6,0.09684562120446405
Drop aVR,0.6698612418407437,0.9075002156856531,0.4666666666666667,0.8110236220472441,0.6532663316582915,0.6547619047619048,0.6746987951807228,0.5555555555555556,0.09464308013950098
Drop aVL,0.7045530949387008,0.8981060890588222,0.5866666666666667,0.8745762711864407,0.6619718309859155,0.6535947712418301,0.7611940298507462,0.5714285714285714,0.09058708855465232
Drop aVF,0.6973026192589721,0.9045749408141853,0.55,0.8540925266903915,0.6666666666666666,0.6503067484662577,0.7154471544715447,0.6,0.08945571292741542
Drop V1,0.6615844167727745,0.8944344171029499,0.5366666666666666,0.8512110726643599,0.6976744186046512,0.6715328467153284,0.6619718309859155,0.425531914893617,0.09301210174830232
Drop V2,0.6712424915716346,0.9003093045193455,0.4666666666666667,0.8252788104089219,0.6294416243654822,0.6883116883116883,0.6708074534161491,0.5423728813559322,0.09390013588433577
Drop V3,0.7202918300455635,0.9073954870286712,0.5733333333333334,0.8642857142857143,0.691358024691358,0.6624203821656051,0.7704918032786885,0.6129032258064516,0.08758075294698428
Drop V4,0.6968774624809465,0.9003259918468931,0.5233333333333333,0.8164794007490637,0.6586826347305389,0.625,0.7401574803149606,0.6440677966101694,0.09437958869108277
Drop V5,0.6089636013885795,0.8749611422667092,0.55,0.8428571428571429,0.6503067484662577,0.632258064516129,0.7479674796747967,0.17142857142857143,0.09717988354176885
Drop V6,0.6509817181617945,0.8972296656337344,0.49,0.8226415094339623,0.6774193548387096,0.6335403726708074,0.7027027027027027,0.4186046511627907,0.09437565989674701
Drop I-III (Limb Leads),0.6536510001573937,0.8870949462316359,0.4766666666666667,0.8060836501901141,0.6408839779005525,0.6021505376344086,0.6885245901639344,0.5306122448979592,0.10463033879578065
Drop aVR/aVL/aVF (Augmented),0.6776018304031592,0.8949097313486151,0.5,0.8345864661654135,0.632768361581921,0.6222222222222222,0.7323943661971831,0.5660377358490566,0.09799903763965193
Drop V1-V6 (Chest Leads),0.3378525695947251,0.8046895629640256,0.12666666666666668,0.08275862068965517,0.4565916398713826,0.48484848484848486,0.6025641025641025,0.0625,0.15821618127869924
Solo I,0.1618958821784575,0.616878307788165,0.02666666666666667,0.0,0.3914209115281501,0.3323442136498516,0.08571428571428572,0.0,0.22745195419302636
Solo II,0.19944870966970413,0.6803675239942375,0.02,0.0,0.39226519337016574,0.34523809523809523,0.2597402597402597,0.0,0.20243344852280787
Solo III,0.20874730624504517,0.6312384225068846,0.03333333333333333,0.0,0.3924731182795699,0.3364485981308411,0.3148148148148148,0.0,0.23345622252900058
Solo aVR,0.1576020235415961,0.6818387158111262,0.043333333333333335,0.0,0.3891891891891892,0.31186440677966104,0.08695652173913043,0.0,0.1959934490499728
Solo aVL,0.14998732848195212,0.5904012296568177,0.03,0.0,0.3924731182795699,0.3271604938271605,0.030303030303030304,0.0,0.22373329917240561
Solo aVF,0.20625239594527503,0.6278073228675134,0.03333333333333333,0.0,0.3870967741935484,0.3390804597701149,0.3050847457627119,0.0,0.21852804256232455
Solo V1,0.23837070620785802,0.6199121514037669,0.10666666666666667,0.0,0.3914209115281501,0.3482587064676617,0.45217391304347826,0.0,0.2750891071786316
Solo V2,0.20917814811327667,0.6117756015215188,0.013333333333333334,0.0,0.40555555555555556,0.3488372093023256,0.291497975708502,0.0,0.24387176463620075
Solo V3,0.1997911930622211,0.5789932889164262,0.013333333333333334,0.0,0.3945945945945946,0.3333333333333333,0.27102803738317754,0.0,0.24917449308597153
Solo V4,0.23761486863574915,0.5585712057210548,0.03333333333333333,0.0,0.3914209115281501,0.4186046511627907,0.3780487804878049,0.0,0.2726008203578988
Solo V5,0.23794233786341468,0.6561742731160641,0.03333333333333333,0.0,0.3924731182795699,0.42704626334519574,0.3076923076923077,0.0625,0.24355675622474374
Solo V6,0.1542044028357247,0.6762621035833865,0.02666666666666667,0.0,0.3924731182795699,0.3785488958990536,0.0,0.0,0.22312482516391707
Solo I-III (Limb Leads),0.26157081014223876,0.7572206976070793,0.04666666666666667,0.0,0.4,0.36363636363636365,0.54421768707483,0.0,0.20798434864714696
Solo aVR/aVL/aVF (Augmented),0.2505738705738706,0.7086489382013139,0.04666666666666667,0.0,0.4,0.35714285714285715,0.49572649572649574,0.0,0.201371646638818
Solo V1-V6 (Chest Leads),0.4553180631746743,0.8407953530206671,0.18666666666666668,0.31137724550898205,0.5121951219512195,0.48,0.547486033519553,0.425531914893617,0.16079169380824343
