Corruption,Severity,Macro F1,Macro AUC,Macro ECE,Brier Score
Baseline Wander,0,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
Powerline Interference,0,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
High-Frequency Noise,0,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
Amplitude Scaling,0,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
Baseline Offset,0,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
EMG Noise,0,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
Baseline Wander,1,0.7248995030032268,0.9101142883597342,0.04591356753930449,0.08481120625159906
Baseline Wander,2,0.7093445757556245,0.9092036769317519,0.05522657469411692,0.0864021974319455
Baseline Wander,3,0.6879883269205964,0.9040345232668375,0.05549429091562828,0.09117461518321524
Baseline Wander,4,0.6013714613678316,0.8694110606731409,0.09087527459611495,0.11853632720864468
Baseline Wander,5,0.1902802692932833,0.7521891121167249,0.14416102644801138,0.17857537842860322
Powerline Interference,1,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
Powerline Interference,2,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
Powerline Interference,3,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
Powerline Interference,4,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
Powerline Interference,5,0.7220794463519964,0.909252261124775,0.048730900297562274,0.08484602234208234
High-Frequency Noise,1,0.7243526769304357,0.9095137454179628,0.04714855222279827,0.08486698457447293
High-Frequency Noise,2,0.7201261469187342,0.9095315589808459,0.04905030443022648,0.08490185900733663
High-Frequency Noise,3,0.7000358615743232,0.9056689556902023,0.044160775662710275,0.08929918809279723
High-Frequency Noise,4,0.4885292867295944,0.8732183539566885,0.12081779344379902,0.1402769856033101
High-Frequency Noise,5,0.3723353132655458,0.7868495891125634,0.14940530519684153,0.18148251793962583
Amplitude Scaling,1,0.6966888901951984,0.9011153664394997,0.05982419110834599,0.08825607150651896
Amplitude Scaling,2,0.6224215568159248,0.8801229473367511,0.06361331415548921,0.0981076381589481
Amplitude Scaling,3,0.5539461717377128,0.8528114183257799,0.07749055734028419,0.11293831926592084
Amplitude Scaling,4,0.4019563726591432,0.8000366142185505,0.13967687669644752,0.1529280640543334
Amplitude Scaling,5,0.20741292532148167,0.6898561626220789,0.19378722409904003,0.20010279162478933
Baseline Offset,1,0.7074875595463646,0.8963027153068659,0.0738912383597344,0.09700572990318712
Baseline Offset,2,0.6563945424774917,0.8806646391613014,0.10084906289726496,0.11233370859595189
Baseline Offset,3,0.44151756807384857,0.8135030969475281,0.1283874183247487,0.1487459256591468
Baseline Offset,4,0.2407600274933305,0.7405971641092945,0.1457050221239527,0.1802298851626848
Baseline Offset,5,0.12655889145496535,0.7367769068895555,0.19216264169911546,0.2062924220547521
EMG Noise,1,0.7238356927213538,0.9093743416410328,0.04901524878665805,0.08478888307552618
EMG Noise,2,0.7235510070756442,0.909184522078186,0.04412339679648478,0.08490116926292832
EMG Noise,3,0.7244667303624541,0.9090235729763588,0.048568934439371034,0.08588706816761016
EMG Noise,4,0.689133661117338,0.9053908839736218,0.049933680746704345,0.09142849186726741
EMG Noise,5,0.5450704558651936,0.8832934688126732,0.10825174261877935,0.12951734176569826
