Feature,Old_Median,New_Median,Old_Mean,New_Mean,Old_Missing%,New_Missing%,Old_Outliers%,New_Outliers%
heart_rate,71.5307582260372,71.5307582260372,74.37341690060923,74.37341690060923,0.0,0.0,3.1960748349229644,3.1960748349229644
mean_rr,838.8,838.8,843.7908921245119,843.7908921245119,0.0,0.0,1.137197358767425,1.137197358767425
sd_rr,30.101339476219103,30.101339476219103,61.297010525332595,61.29701052533259,0.0,0.0,9.840425531914894,9.840425531914894
p_amplitude,0.0489501021802425,0.07095097750425336,0.06320099908535394,0.07078991731720406,0.059611151870873076,2.1551724137931036,3.0997798972854,2.563279530447542
p_duration,107.28571428571428,116.26666666666668,105.82529894375418,116.40312019425468,0.059611151870873076,2.572450476889215,2.3798606016140864,2.256052824651504
pr_interval,98.3076923076923,148.0,106.44358087310685,146.58187835874702,1.5223771093176817,17.360601614086573,1.3618855465884079,0.752017608217168
v1_r_amplitude,-0.5083982050418854,-0.5217578411102295,-0.5357083513892861,-0.5678560339872152,0.0,0.0,2.5265957446808507,3.608767424798239
v1_s_amplitude,-0.6368516683578491,-0.6541018486022949,-0.6810615385394029,-0.7132092208236622,0.0,0.0,3.067681584739545,3.792186353631695
v5_r_amplitude,0.7828183174133301,0.7338470816612244,0.8037303108326759,0.7707190968218464,0.0,0.0,2.288151137197359,2.7100146735143067
max_r_v1_v6,0.8269172608852386,0.7968118786811829,0.8708639109641897,0.8519878018934649,0.0,0.0,2.292736610418195,2.668745414526779
r_progression_slope,0.28568066113761487,0.28482493263270164,0.2936916007103781,0.2954545941662968,0.0,0.0,1.609501100513573,1.8938004402054291
max_st_elevation,0.11575797945261,0.0994290858507156,0.22366802708342073,0.19110839081417824,0.0,0.0,9.64325018341893,10.207263389581806
max_st_depression,0.14144758880138392,0.15697418898344034,0.20085602657951795,0.2098408951472533,0.0,0.0,7.657740278796772,6.795671313279531
num_leads_st_deviation,3.0,3.0,3.7216617754952313,3.7421129860601616,0.0,0.0,0.0,0.0
max_t_amplitude,0.41293261945247645,0.41071014106273646,0.5306756758070104,0.5291475086175357,0.0,0.0,6.708547322083638,6.6076669112252375
mean_t_amplitude,0.1856668889522552,0.18646610528230664,0.22121555652831199,0.22206035631067192,0.0,0.0,5.974871606749817,6.043653705062362
num_leads_t_inversion,5.0,5.0,4.8319424064563465,5.067223037417461,0.0,0.0,0.0,0.0
qrs_duration,169.6234817813765,105.78571428571428,171.71199287685812,106.88776595887222,0.10088041085840058,0.3347395451210565,1.902971386647102,0.917094644167278
qt_interval,413.45454545454544,425.2,403.96461567384586,424.1697082969632,0.5823550990462216,13.971936903888482,1.8066764490095377,3.737160674981658
qtc_interval,441.7709559474654,451.8341511240668,428.5732155690441,452.3522626848684,0.586940572267058,13.971936903888482,3.3565663976522377,5.305392516507704
qrs_axis,25.72408704999708,26.651409753706012,29.841207193619333,31.302822917428596,0.0,0.0,1.1601247248716067,1.1234409391049156
t_wave_axis,24.784269332885742,26.86056613922119,14.039955823449162,17.41322915766013,0.0,0.0,3.604181951577403,1.0730007336757152
qrs_t_angle,41.10275892955261,47.52883126331449,60.927947970091864,66.41889202925337,0.0,0.0,0.0,0.0
sokolow_lyon,1.445283368229866,1.4267247468233109,1.4862614050661807,1.485075832794812,0.0,0.0,1.8846294937637564,2.256052824651504
